player,assisted_shots,crosses_into_penalty_area,tackles,pressures,dribbles_completed,progressive_carries,carries_into_final_third,fouls,ball_recoveries
Luke Shaw,23.0,4.0,13.0,110.0,5.0,63.0,30.0,19.0,83.0
Kieran Tierney,11.0,9.0,8.0,52.0,2.0,35.0,10.0,2.0,51.0
